"","TF_Name","MORA","HOMER","AME","PSCAN","BART2","LISA2","Num_Yes","Conf_lvl_ranks"
"1","PRDM1",1,1,1,0,1,1,5,1
"2","ATF2",1,1,0,0,1,1,4,2
"3","ATF3",1,0,1,0,1,1,4,2
"4","BCL6",1,0,0,1,1,1,4,2
"5","EGR3",0,0,1,1,1,1,4,2
"6","FOS",1,0,0,1,1,1,4,2
"7","GATA1",1,1,0,0,1,1,4,2
"8","GATA3",1,1,0,0,1,1,4,2
"9","IKZF1",1,0,0,1,1,1,4,2
"10","IRF1",1,0,1,0,1,1,4,2
"11","IRF4",1,0,1,0,1,1,4,2
"12","JUN",1,0,0,1,1,1,4,2
"13","JUNB",0,0,1,1,1,1,4,2
"14","JUND",1,0,0,1,1,1,4,2
"15","MEF2A",1,0,1,0,1,1,4,2
"16","NFKB1",1,0,0,1,1,1,4,2
"17","PAX3",1,0,0,1,1,1,4,2
"18","RUNX1",1,0,1,0,1,1,4,2
"19","STAT1",1,0,0,1,1,1,4,2
"20","STAT3",1,0,0,1,1,1,4,2
"21","STAT5A",1,0,0,1,1,1,4,2
"22","STAT5B",1,0,0,1,1,1,4,2
"23","TCF12",0,0,1,1,1,1,4,2
"24","TCF4",0,0,1,1,1,1,4,2
"25","TCF7L1",1,0,0,1,1,1,4,2
"26","TFAP2A",1,0,0,1,1,1,4,2
"27","ZNF263",1,0,1,0,1,1,4,2
"28","ZNF467",1,0,1,0,1,1,4,2
"29","BACH2",0,0,0,1,1,1,3,3
"30","BATF",0,0,0,1,1,1,3,3
"31","BATF3",1,0,0,1,1,0,3,3
"32","BCL11A",0,0,1,0,1,1,3,3
"33","CEBPA",0,0,0,1,1,1,3,3
"34","CEBPB",0,0,0,1,1,1,3,3
"35","CTCF",1,0,0,0,1,1,3,3
"36","CTCFL",1,0,1,1,0,0,3,3
"37","E2F1",1,0,1,0,0,1,3,3
"38","EBF1",0,1,0,0,1,1,3,3
"39","ELF1",1,0,1,0,0,1,3,3
"40","ERG",1,0,0,0,1,1,3,3
"41","FOSB",1,0,1,1,0,0,3,3
"42","FOSL1",1,0,0,1,1,0,3,3
"43","FOSL2",0,0,0,1,1,1,3,3
"44","FOXA2",0,0,1,0,1,1,3,3
"45","FOXO1",0,0,1,0,1,1,3,3
"46","GATA6",1,0,0,0,1,1,3,3
"47","GLIS1",1,0,1,0,1,0,3,3
"48","HES2",0,0,1,0,1,1,3,3
"49","HOXA9",0,1,0,0,1,1,3,3
"50","HOXB13",1,0,0,0,1,1,3,3
