"","TF_Name","MORA","HOMER","AME","PSCAN","BART2","LISA2","Num_Yes","Conf_lvl_ranks"
"1","FOS",1,0,0,1,1,1,4,1
"2","IKZF1",1,0,0,1,1,1,4,1
"3","IRF4",1,0,1,0,1,1,4,1
"4","JUN",1,0,0,1,1,1,4,1
"5","JUNB",0,0,1,1,1,1,4,1
"6","JUND",1,0,0,1,1,1,4,1
"7","NFKB1",1,0,0,1,1,1,4,1
"8","STAT1",1,0,0,1,1,1,4,1
"9","STAT3",1,0,0,1,1,1,4,1
"10","STAT5A",1,0,0,1,1,1,4,1
"11","STAT5B",1,0,0,1,1,1,4,1
"12","TCF12",0,0,1,1,1,1,4,1
"13","ATF2",1,0,0,0,1,1,3,2
"14","ATF3",1,0,1,0,0,1,3,2
"15","BACH2",0,0,0,1,1,1,3,2
"16","BATF",0,0,0,1,1,1,3,2
"17","BCL6",0,0,0,1,1,1,3,2
"18","CEBPA",0,0,0,1,1,1,3,2
"19","CEBPB",0,0,0,1,1,1,3,2
"20","CTCF",1,0,0,0,1,1,3,2
"21","EBF1",0,1,0,0,1,1,3,2
"22","ERG",1,0,0,0,1,1,3,2
"23","FOSB",1,0,1,1,0,0,3,2
"24","FOSL1",1,0,0,1,1,0,3,2
"25","FOSL2",0,0,0,1,1,1,3,2
"26","FOXA2",0,0,1,0,1,1,3,2
"27","GATA3",0,1,0,0,1,1,3,2
"28","HOXB13",1,0,0,0,1,1,3,2
"29","HSF1",1,0,1,0,0,1,3,2
"30","IRF1",1,0,0,0,1,1,3,2
"31","LHX2",0,0,0,1,1,1,3,2
"32","MAF",0,0,0,1,1,1,3,2
"33","MAFK",1,0,0,0,1,1,3,2
"34","MEF2A",1,0,0,0,1,1,3,2
"35","MEF2B",1,0,0,0,1,1,3,2
"36","NFIC",0,0,0,1,1,1,3,2
"37","POU2F2",1,0,0,0,1,1,3,2
"38","PRDM1",1,0,0,0,1,1,3,2
"39","RUNX1",1,0,0,0,1,1,3,2
