"","TF_Name","MORA","HOMER","AME","PSCAN","BART2","LISA2","Num_Yes","Conf_lvl_ranks"
"1","IRF4",1,1,1,0,1,1,5,1
"2","STAT1",1,1,0,1,1,1,5,1
"3","BATF",0,1,0,1,1,1,4,2
"4","CTCF",1,1,0,0,1,1,4,2
"5","ERG",1,1,0,0,1,1,4,2
"6","FOS",1,0,0,1,1,1,4,2
"7","HOXB13",1,1,0,0,1,1,4,2
"8","IKZF1",1,0,0,1,1,1,4,2
"9","IRF1",1,1,0,0,1,1,4,2
"10","JUN",1,0,0,1,1,1,4,2
"11","JUNB",0,0,1,1,1,1,4,2
"12","JUND",1,0,0,1,1,1,4,2
"13","MEF2B",1,1,0,0,1,1,4,2
"14","NFKB1",1,0,0,1,1,1,4,2
"15","RUNX1",1,1,0,0,1,1,4,2
"16","SPIB",1,1,0,0,1,1,4,2
"17","STAT3",1,0,0,1,1,1,4,2
"18","STAT4",1,1,0,1,1,0,4,2
"19","STAT5A",1,0,0,1,1,1,4,2
"20","STAT5B",1,0,0,1,1,1,4,2
"21","TCF12",0,0,1,1,1,1,4,2
"22","TEAD4",0,1,0,1,1,1,4,2
"23","ZNF317",0,1,0,1,1,1,4,2
"24","ATF2",1,0,0,0,1,1,3,3
"25","ATF3",1,0,1,0,0,1,3,3
"26","BACH2",0,0,0,1,1,1,3,3
"27","BCL6",0,0,0,1,1,1,3,3
"28","CEBPA",0,0,0,1,1,1,3,3
"29","CEBPB",0,0,0,1,1,1,3,3
"30","E2F1",1,1,0,0,0,1,3,3
"31","EBF1",0,1,0,0,1,1,3,3
"32","EHF",1,1,0,0,1,0,3,3
"33","FOSB",1,0,1,1,0,0,3,3
"34","FOSL1",1,0,0,1,1,0,3,3
"35","FOSL2",0,0,0,1,1,1,3,3
"36","FOXA2",0,0,1,0,1,1,3,3
"37","FOXP1",0,1,0,0,1,1,3,3
"38","GATA3",0,1,0,0,1,1,3,3
"39","GSC",0,1,1,1,0,0,3,3
"40","HSF1",1,0,1,0,0,1,3,3
"41","LHX2",0,0,0,1,1,1,3,3
"42","MAF",0,0,0,1,1,1,3,3
"43","MAFK",1,0,0,0,1,1,3,3
"44","MEF2A",1,0,0,0,1,1,3,3
"45","MYB",0,1,0,0,1,1,3,3
"46","NFIC",0,0,0,1,1,1,3,3
"47","PAX5",0,1,0,0,1,1,3,3
"48","POU2F2",1,0,0,0,1,1,3,3
"49","PRDM1",1,0,0,0,1,1,3,3
"50","SMAD3",0,0,0,1,1,1,3,3
"51","SPI1",0,0,1,1,0,1,3,3
"52","TCF4",0,0,0,1,1,1,3,3
"53","TCF7L1",0,0,0,1,1,1,3,3
"54","TLX1",0,0,0,1,1,1,3,3
"55","TP53",1,0,0,0,1,1,3,3
"56","VDR",0,1,0,0,1,1,3,3
"57","ZBTB12",0,1,0,1,0,1,3,3
"58","ZNF675",1,1,1,0,0,0,3,3
"59","AR",1,0,0,0,0,1,2,4
"60","ASCL2",0,0,1,1,0,0,2,4
"61","ATF4",1,0,0,0,0,1,2,4
"62","BATF3",0,0,0,1,1,0,2,4
"63","BHLHE22",1,0,0,1,0,0,2,4
"64","BHLHE40",0,1,1,0,0,0,2,4
